Nome do Jogo;Preco Original;Preco Promocional;Informacoes;Tempo Medio de Jogo
Star Wars: Legion - Especialistas Imperiais (expansão);71.99;71.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 4 miniaturas de especialistas Imperiais detalhadamente esculpidas, bem como novas cartas de unidade, de melhoria e de comando. Esta expans&atilde;o permite que um jogador use uma unidade de comandante Imperial gen&eacute;rica e adicione as miniaturas deste pacote a outras unidades de seu ex&eacute;rcito.</p>";60-120 min
Star Wars: Legion - AT-ST Derrubado (expansão);179.99;179.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura detalhadamente modelada, assim como novas cartas de batalha que formam um cen&aacute;rio &uacute;nico em STAR WARS: LEGION. Essa miniatura pode ser utilizada como uma pe&ccedil;a de terreno para aprimorar o seu campo de batalha ou como o objetivo de uma disputa com o uso das cartas de batalha inclusas neste produto.</p>";60-120 min
Star Wars: Legion - Jyn Erso (expansão);47.99;47.99;;60-120 min
Star Wars: Legion - Desbravadores Rebeldes (expansão);89.99;89.99;"<p>A Alian&ccedil;a Rebelde recruta guerreiros de todas as partes do universo&nbsp;&mdash; basta encontrarem seres que est&atilde;o cansados da tirania do Imp&eacute;rio. Juntos, esses grupos formam os Desbravadores Rebeldes, levando a luta at&eacute; o Imp&eacute;rio por dezenas de planetas por toda a gal&aacute;xia.</p>

<p>Esta unidade &eacute; composta por sete miniaturas de Desbravadores, quantidade id&ecirc;ntica ao do jogo base. Essa expans&atilde;o tamb&eacute;m conta com uma carta de unidade e cartas de melhoria, preparando a tropa para qualquer cen&aacute;rio.</p>";60-120 min
Star Wars: Legion - Diretor Orson Krennic (expansão);47.99;47.99;;60-120 min
Star Wars: Legion - Troopers da Morte Imperiais (expansão);89.99;89.99;"<p>Avan&ccedil;ando pelos campos de batalha como seres imbat&iacute;veis. Os Troopers da Morte Imperial aterrorizam todos. Com sua armadura preta e carregando um verdadeiro arsenal de armas e equipamentos, essas unidades s&atilde;o soldados de elite da Iniciativa Tarkin. Escolhidos a dedo pela for&ccedil;a de intelig&ecirc;ncia dos strormtroopers, esses soldados s&atilde;o treinados para serem eficientes e impiedosos.</p>

<p>Com essa unidade, voc&ecirc; encontrar&aacute; tudo que precisa para refor&ccedil;ar a tropa do Imp&eacute;rio. Seis miniaturas que s&atilde;o acompanhadas de uma carta de unidade, uma variedade de tokens e cartas de aprimoramento que deixam as unidades de trooper da morte ainda mais perigosos!</p>";60-120 min
Star Wars: Legion - Tanque de Assalto e Combate Ocupador OX-225 GAVW (expansão);197.99;197.99;;60-120 min
Star Wars: Legion - Landspeeder X-34 (expansão);179.99;179.99;;60-120 min
Star Wars: Legion - Sabine Wren;47.99;47.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 1 miniatura de Sabine Wren detalhadamente esculpida, sufciente para formar uma unidade de agente, bem como novas cartas de unidade, de melhoria e de comando para usar em batalha.</p>";60-120 min
Star Wars: Legion - Veteranos Rebeldes (expansão);107.99;107.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de veteranos Rebeldes detalhadamente esculpidas, sufciente para formar uma unidade de tropa, bem como novas cartas de unidade e de melhoria para usar em batalha.</p>";60-120 min
Star Wars: Legion - Condutores de Tauntaun (expansão);89.99;89.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 2 miniaturas de condutores de tauntaun detalhadamente esculpidas, sufciente para formar uma unidade de suporte, bem como novas&nbsp;cartas de&nbsp;unidade e de melhoria para usar em batalha.</p>";60-120 min
Star Wars: Legion - Shoretroopers Imperiais (expansão);107.99;107.99;"<p>Esta expans&atilde;o para STAR WARS: LEGION cont&eacute;m 7 miniaturas de shoretroopers Imperiais detalhadamente esculpidas, sufciente para formar uma unidade de tropa, bem como novas cartas de unidade e de melhoria para usar em batalha.</p>";60-120 min
